figure_id,paper_id,field,figure_image_path
FIG_00000072,2605.30341v1,AI,figures/AI/FIG_00000072.png
FIG_00000073,2605.30341v1,AI,figures/AI/FIG_00000073.png
FIG_00000074,2605.30341v1,AI,figures/AI/FIG_00000074.png
FIG_00000075,2605.30341v1,AI,figures/AI/FIG_00000075.png
FIG_00000076,2605.30341v1,AI,figures/AI/FIG_00000076.png
FIG_00000077,2605.30341v1,AI,figures/AI/FIG_00000077.png
FIG_00000078,2605.30341v1,AI,figures/AI/FIG_00000078.png
FIG_00000079,2605.30341v1,AI,figures/AI/FIG_00000079.png
FIG_00000080,2605.30341v1,AI,figures/AI/FIG_00000080.png
FIG_00000081,2605.30341v1,AI,figures/AI/FIG_00000081.png
FIG_00000082,2605.30341v1,AI,figures/AI/FIG_00000082.png
FIG_00000083,2605.30341v1,AI,figures/AI/FIG_00000083.png
FIG_00000084,2605.30335v1,AI,figures/AI/FIG_00000084.png
FIG_00000085,2605.30335v1,AI,figures/AI/FIG_00000085.png
FIG_00000086,2605.30335v1,AI,figures/AI/FIG_00000086.png
FIG_00000087,2605.30335v1,AI,figures/AI/FIG_00000087.png
FIG_00000088,2605.30335v1,AI,figures/AI/FIG_00000088.png
FIG_00000089,2605.30335v1,AI,figures/AI/FIG_00000089.png
FIG_00000090,2605.30335v1,AI,figures/AI/FIG_00000090.png
FIG_00000091,2605.30334v1,AI,figures/AI/FIG_00000091.png
FIG_00000092,2605.30334v1,AI,figures/AI/FIG_00000092.png
FIG_00000093,2605.30334v1,AI,figures/AI/FIG_00000093.png
FIG_00000094,2605.30334v1,AI,figures/AI/FIG_00000094.png
FIG_00000095,2605.30334v1,AI,figures/AI/FIG_00000095.png
FIG_00000096,2605.30334v1,AI,figures/AI/FIG_00000096.png
FIG_00000097,2605.30334v1,AI,figures/AI/FIG_00000097.png
FIG_00000098,2605.30327v1,AI,figures/AI/FIG_00000098.png
FIG_00000099,2605.30327v1,AI,figures/AI/FIG_00000099.png
FIG_00000100,2605.30327v1,AI,figures/AI/FIG_00000100.png
FIG_00000101,2605.30327v1,AI,figures/AI/FIG_00000101.png
FIG_00000102,2605.30327v1,AI,figures/AI/FIG_00000102.png
FIG_00000103,2605.30327v1,AI,figures/AI/FIG_00000103.png
FIG_00000104,2605.30327v1,AI,figures/AI/FIG_00000104.png
FIG_00000105,2605.30327v1,AI,figures/AI/FIG_00000105.png
FIG_00000106,2605.30327v1,AI,figures/AI/FIG_00000106.png
FIG_00000107,2605.30350v1,ML,figures/ML/FIG_00000107.png
FIG_00000108,2605.30350v1,ML,figures/ML/FIG_00000108.png
FIG_00000109,2605.30350v1,ML,figures/ML/FIG_00000109.png
FIG_00000110,2605.30350v1,ML,figures/ML/FIG_00000110.png
FIG_00000111,2605.30350v1,ML,figures/ML/FIG_00000111.png
FIG_00000112,2605.30350v1,ML,figures/ML/FIG_00000112.png
FIG_00000113,2605.30350v1,ML,figures/ML/FIG_00000113.png
FIG_00000114,2605.30350v1,ML,figures/ML/FIG_00000114.png
FIG_00000115,2605.30350v1,ML,figures/ML/FIG_00000115.png
FIG_00000116,2605.30350v1,ML,figures/ML/FIG_00000116.png
FIG_00000117,2605.30350v1,ML,figures/ML/FIG_00000117.png
FIG_00000118,2605.30350v1,ML,figures/ML/FIG_00000118.png
FIG_00000119,2605.30350v1,ML,figures/ML/FIG_00000119.png
FIG_00000120,2605.30337v1,ML,figures/ML/FIG_00000120.png
FIG_00000121,2605.30337v1,ML,figures/ML/FIG_00000121.png
FIG_00000122,2605.30337v1,ML,figures/ML/FIG_00000122.png
FIG_00000123,2605.30337v1,ML,figures/ML/FIG_00000123.png
FIG_00000124,2605.30337v1,ML,figures/ML/FIG_00000124.png
FIG_00000125,2605.30337v1,ML,figures/ML/FIG_00000125.png
FIG_00000126,2605.30337v1,ML,figures/ML/FIG_00000126.png
FIG_00000127,2605.30337v1,ML,figures/ML/FIG_00000127.png
FIG_00000128,2605.30337v1,ML,figures/ML/FIG_00000128.png
FIG_00000129,2605.30337v1,ML,figures/ML/FIG_00000129.png
FIG_00000130,2605.30337v1,ML,figures/ML/FIG_00000130.png
FIG_00000131,2605.30337v1,ML,figures/ML/FIG_00000131.png
FIG_00000132,2605.30337v1,ML,figures/ML/FIG_00000132.png
FIG_00000133,2605.30337v1,ML,figures/ML/FIG_00000133.png
FIG_00000134,2605.30337v1,ML,figures/ML/FIG_00000134.png
FIG_00000135,2605.30337v1,ML,figures/ML/FIG_00000135.png
FIG_00000136,2605.30336v1,ML,figures/ML/FIG_00000136.png
FIG_00000137,2605.30336v1,ML,figures/ML/FIG_00000137.png
FIG_00000138,2605.30330v1,ML,figures/ML/FIG_00000138.png
FIG_00000139,2605.30330v1,ML,figures/ML/FIG_00000139.png
FIG_00000140,2605.30330v1,ML,figures/ML/FIG_00000140.png
FIG_00000141,2605.30330v1,ML,figures/ML/FIG_00000141.png
FIG_00000142,2605.30330v1,ML,figures/ML/FIG_00000142.png
FIG_00000143,2605.30330v1,ML,figures/ML/FIG_00000143.png
FIG_00000144,2605.30330v1,ML,figures/ML/FIG_00000144.png
FIG_00000145,2605.30330v1,ML,figures/ML/FIG_00000145.png
FIG_00000146,2605.30330v1,ML,figures/ML/FIG_00000146.png
FIG_00000147,2605.30330v1,ML,figures/ML/FIG_00000147.png
FIG_00000148,2605.30330v1,ML,figures/ML/FIG_00000148.png
FIG_00000149,2605.30330v1,ML,figures/ML/FIG_00000149.png
FIG_00000150,2605.30330v1,ML,figures/ML/FIG_00000150.png
FIG_00000151,2605.30330v1,ML,figures/ML/FIG_00000151.png
FIG_00000152,2605.30330v1,ML,figures/ML/FIG_00000152.png
FIG_00000153,2605.30330v1,ML,figures/ML/FIG_00000153.png
FIG_00000154,2605.30330v1,ML,figures/ML/FIG_00000154.png
FIG_00000155,2605.30330v1,ML,figures/ML/FIG_00000155.png
FIG_00000156,2605.30330v1,ML,figures/ML/FIG_00000156.png
FIG_00000157,2605.30330v1,ML,figures/ML/FIG_00000157.png
FIG_00000158,2605.30330v1,ML,figures/ML/FIG_00000158.png
FIG_00000159,2605.30330v1,ML,figures/ML/FIG_00000159.png
FIG_00000160,2605.30330v1,ML,figures/ML/FIG_00000160.png
FIG_00000161,2605.30330v1,ML,figures/ML/FIG_00000161.png
FIG_00000162,2605.30329v1,ML,figures/ML/FIG_00000162.png
FIG_00000163,2605.30329v1,ML,figures/ML/FIG_00000163.png
FIG_00000164,2605.30329v1,ML,figures/ML/FIG_00000164.png
FIG_00000165,2605.30329v1,ML,figures/ML/FIG_00000165.png
FIG_00000166,2605.30329v1,ML,figures/ML/FIG_00000166.png
FIG_00000167,2605.30329v1,ML,figures/ML/FIG_00000167.png
FIG_00000168,2605.30329v1,ML,figures/ML/FIG_00000168.png
FIG_00000169,2605.30329v1,ML,figures/ML/FIG_00000169.png
FIG_00000170,2605.30329v1,ML,figures/ML/FIG_00000170.png
FIG_00000171,2605.30329v1,ML,figures/ML/FIG_00000171.png
FIG_00000172,2605.30329v1,ML,figures/ML/FIG_00000172.png
FIG_00000173,2605.30329v1,ML,figures/ML/FIG_00000173.png
FIG_00000174,2605.30329v1,ML,figures/ML/FIG_00000174.png
FIG_00000175,2605.30329v1,ML,figures/ML/FIG_00000175.png
FIG_00000176,2605.30329v1,ML,figures/ML/FIG_00000176.png
FIG_00000177,2605.30329v1,ML,figures/ML/FIG_00000177.png
FIG_00000178,2605.30329v1,ML,figures/ML/FIG_00000178.png
FIG_00000179,2605.30329v1,ML,figures/ML/FIG_00000179.png
FIG_00000180,2605.30329v1,ML,figures/ML/FIG_00000180.png
FIG_00000181,2605.30323v1,ML,figures/ML/FIG_00000181.png
FIG_00000182,2605.30352v1,CV,figures/CV/FIG_00000182.png
FIG_00000183,2605.30352v1,CV,figures/CV/FIG_00000183.png
FIG_00000184,2605.30352v1,CV,figures/CV/FIG_00000184.png
FIG_00000185,2605.30352v1,CV,figures/CV/FIG_00000185.png
FIG_00000186,2605.30352v1,CV,figures/CV/FIG_00000186.png
FIG_00000187,2605.30352v1,CV,figures/CV/FIG_00000187.png
FIG_00000188,2605.30352v1,CV,figures/CV/FIG_00000188.png
FIG_00000189,2605.30352v1,CV,figures/CV/FIG_00000189.png
FIG_00000190,2605.30352v1,CV,figures/CV/FIG_00000190.png
FIG_00000191,2605.30352v1,CV,figures/CV/FIG_00000191.png
FIG_00000192,2605.30352v1,CV,figures/CV/FIG_00000192.png
FIG_00000193,2605.30349v1,CV,figures/CV/FIG_00000193.png
FIG_00000194,2605.30349v1,CV,figures/CV/FIG_00000194.png
FIG_00000195,2605.30349v1,CV,figures/CV/FIG_00000195.png
FIG_00000196,2605.30349v1,CV,figures/CV/FIG_00000196.png
FIG_00000197,2605.30349v1,CV,figures/CV/FIG_00000197.png
FIG_00000198,2605.30349v1,CV,figures/CV/FIG_00000198.png
FIG_00000199,2605.30347v1,CV,figures/CV/FIG_00000199.png
FIG_00000200,2605.30347v1,CV,figures/CV/FIG_00000200.png
FIG_00000201,2605.30347v1,CV,figures/CV/FIG_00000201.png
FIG_00000202,2605.30347v1,CV,figures/CV/FIG_00000202.png
FIG_00000203,2605.30347v1,CV,figures/CV/FIG_00000203.png
FIG_00000204,2605.30347v1,CV,figures/CV/FIG_00000204.png
FIG_00000205,2605.30347v1,CV,figures/CV/FIG_00000205.png
FIG_00000206,2605.30347v1,CV,figures/CV/FIG_00000206.png
FIG_00000207,2605.30347v1,CV,figures/CV/FIG_00000207.png
FIG_00000208,2605.30347v1,CV,figures/CV/FIG_00000208.png
FIG_00000209,2605.30347v1,CV,figures/CV/FIG_00000209.png
FIG_00000210,2605.30346v1,CV,figures/CV/FIG_00000210.png
FIG_00000211,2605.30346v1,CV,figures/CV/FIG_00000211.png
FIG_00000212,2605.30346v1,CV,figures/CV/FIG_00000212.png
FIG_00000213,2605.30346v1,CV,figures/CV/FIG_00000213.png
FIG_00000214,2605.30346v1,CV,figures/CV/FIG_00000214.png
FIG_00000215,2605.30346v1,CV,figures/CV/FIG_00000215.png
FIG_00000216,2605.30346v1,CV,figures/CV/FIG_00000216.png
FIG_00000217,2605.30346v1,CV,figures/CV/FIG_00000217.png
FIG_00000218,2605.30346v1,CV,figures/CV/FIG_00000218.png
FIG_00000219,2605.30346v1,CV,figures/CV/FIG_00000219.png
FIG_00000220,2605.30346v1,CV,figures/CV/FIG_00000220.png
FIG_00000221,2605.30346v1,CV,figures/CV/FIG_00000221.png
FIG_00000222,2605.30346v1,CV,figures/CV/FIG_00000222.png
FIG_00000223,2605.30346v1,CV,figures/CV/FIG_00000223.png
FIG_00000224,2605.30346v1,CV,figures/CV/FIG_00000224.png
FIG_00000225,2605.30342v1,CV,figures/CV/FIG_00000225.png
FIG_00000226,2605.30342v1,CV,figures/CV/FIG_00000226.png
FIG_00000227,2605.30342v1,CV,figures/CV/FIG_00000227.png
FIG_00000228,2605.30342v1,CV,figures/CV/FIG_00000228.png
FIG_00000229,2605.30342v1,CV,figures/CV/FIG_00000229.png
FIG_00000230,2605.30342v1,CV,figures/CV/FIG_00000230.png
FIG_00000231,2605.30342v1,CV,figures/CV/FIG_00000231.png
FIG_00000232,2605.30342v1,CV,figures/CV/FIG_00000232.png
FIG_00000233,2605.30342v1,CV,figures/CV/FIG_00000233.png
FIG_00000234,2605.30342v1,CV,figures/CV/FIG_00000234.png
FIG_00000235,2605.30339v1,CV,figures/CV/FIG_00000235.png
FIG_00000236,2605.30339v1,CV,figures/CV/FIG_00000236.png
FIG_00000237,2605.30339v1,CV,figures/CV/FIG_00000237.png
FIG_00000238,2605.30339v1,CV,figures/CV/FIG_00000238.png
FIG_00000239,2605.30339v1,CV,figures/CV/FIG_00000239.png
FIG_00000240,2605.30339v1,CV,figures/CV/FIG_00000240.png
FIG_00000241,2605.30339v1,CV,figures/CV/FIG_00000241.png
FIG_00000242,2605.30339v1,CV,figures/CV/FIG_00000242.png
FIG_00000243,2605.30339v1,CV,figures/CV/FIG_00000243.png
FIG_00000244,2605.30339v1,CV,figures/CV/FIG_00000244.png
FIG_00000245,2605.30339v1,CV,figures/CV/FIG_00000245.png
FIG_00000246,2605.30339v1,CV,figures/CV/FIG_00000246.png
FIG_00000247,2605.30338v1,CV,figures/CV/FIG_00000247.png
FIG_00000248,2605.30338v1,CV,figures/CV/FIG_00000248.png
FIG_00000249,2605.30338v1,CV,figures/CV/FIG_00000249.png
FIG_00000250,2605.30338v1,CV,figures/CV/FIG_00000250.png
FIG_00000251,2605.30338v1,CV,figures/CV/FIG_00000251.png
FIG_00000252,2605.30338v1,CV,figures/CV/FIG_00000252.png
FIG_00000253,2605.30338v1,CV,figures/CV/FIG_00000253.png
FIG_00000254,2605.30338v1,CV,figures/CV/FIG_00000254.png
FIG_00000255,2605.30338v1,CV,figures/CV/FIG_00000255.png
FIG_00000256,2605.30338v1,CV,figures/CV/FIG_00000256.png
FIG_00000257,2605.30338v1,CV,figures/CV/FIG_00000257.png
FIG_00000258,2605.30338v1,CV,figures/CV/FIG_00000258.png
FIG_00000259,2605.30338v1,CV,figures/CV/FIG_00000259.png
FIG_00000260,2605.30338v1,CV,figures/CV/FIG_00000260.png
FIG_00000261,2605.30338v1,CV,figures/CV/FIG_00000261.png
FIG_00000262,2605.30338v1,CV,figures/CV/FIG_00000262.png
FIG_00000263,2605.30338v1,CV,figures/CV/FIG_00000263.png
FIG_00000264,2605.30332v1,CV,figures/CV/FIG_00000264.png
FIG_00000265,2605.30332v1,CV,figures/CV/FIG_00000265.png
FIG_00000266,2605.30332v1,CV,figures/CV/FIG_00000266.png
FIG_00000267,2605.30332v1,CV,figures/CV/FIG_00000267.png
FIG_00000268,2605.30332v1,CV,figures/CV/FIG_00000268.png
FIG_00000269,2605.30332v1,CV,figures/CV/FIG_00000269.png
FIG_00000270,2605.30332v1,CV,figures/CV/FIG_00000270.png
FIG_00000271,2605.30332v1,CV,figures/CV/FIG_00000271.png
FIG_00000272,2605.30326v1,ROBOTICS,figures/ROBOTICS/FIG_00000272.png
FIG_00000273,2605.30326v1,ROBOTICS,figures/ROBOTICS/FIG_00000273.png
FIG_00000274,2605.30326v1,ROBOTICS,figures/ROBOTICS/FIG_00000274.png
FIG_00000275,2605.30326v1,ROBOTICS,figures/ROBOTICS/FIG_00000275.png
FIG_00000276,2605.30326v1,ROBOTICS,figures/ROBOTICS/FIG_00000276.png
FIG_00000277,2605.30326v1,ROBOTICS,figures/ROBOTICS/FIG_00000277.png
FIG_00000278,2605.30326v1,ROBOTICS,figures/ROBOTICS/FIG_00000278.png
FIG_00000279,2605.30326v1,ROBOTICS,figures/ROBOTICS/FIG_00000279.png
FIG_00000280,2605.30326v1,ROBOTICS,figures/ROBOTICS/FIG_00000280.png
FIG_00000281,2605.30326v1,ROBOTICS,figures/ROBOTICS/FIG_00000281.png
FIG_00000282,2605.30313v1,ROBOTICS,figures/ROBOTICS/FIG_00000282.png
FIG_00000283,2605.30313v1,ROBOTICS,figures/ROBOTICS/FIG_00000283.png
FIG_00000284,2605.30313v1,ROBOTICS,figures/ROBOTICS/FIG_00000284.png
FIG_00000285,2605.30313v1,ROBOTICS,figures/ROBOTICS/FIG_00000285.png
FIG_00000286,2605.30313v1,ROBOTICS,figures/ROBOTICS/FIG_00000286.png
FIG_00000287,2605.30313v1,ROBOTICS,figures/ROBOTICS/FIG_00000287.png
FIG_00000288,2605.30313v1,ROBOTICS,figures/ROBOTICS/FIG_00000288.png
FIG_00000289,2605.30313v1,ROBOTICS,figures/ROBOTICS/FIG_00000289.png
FIG_00000290,2605.30313v1,ROBOTICS,figures/ROBOTICS/FIG_00000290.png
FIG_00000291,2605.30313v1,ROBOTICS,figures/ROBOTICS/FIG_00000291.png
FIG_00000292,2605.30313v1,ROBOTICS,figures/ROBOTICS/FIG_00000292.png
FIG_00000293,2605.30313v1,ROBOTICS,figures/ROBOTICS/FIG_00000293.png
FIG_00000294,2605.30282v1,ROBOTICS,figures/ROBOTICS/FIG_00000294.png
FIG_00000295,2605.30282v1,ROBOTICS,figures/ROBOTICS/FIG_00000295.png
FIG_00000296,2605.30282v1,ROBOTICS,figures/ROBOTICS/FIG_00000296.png
FIG_00000297,2605.30282v1,ROBOTICS,figures/ROBOTICS/FIG_00000297.png
FIG_00000298,2605.30282v1,ROBOTICS,figures/ROBOTICS/FIG_00000298.png
FIG_00000299,2605.30280v1,ROBOTICS,figures/ROBOTICS/FIG_00000299.png
FIG_00000300,2605.30280v1,ROBOTICS,figures/ROBOTICS/FIG_00000300.png
FIG_00000301,2605.30280v1,ROBOTICS,figures/ROBOTICS/FIG_00000301.png
FIG_00000302,2605.30280v1,ROBOTICS,figures/ROBOTICS/FIG_00000302.png
FIG_00000303,2605.30280v1,ROBOTICS,figures/ROBOTICS/FIG_00000303.png
FIG_00000304,2605.30280v1,ROBOTICS,figures/ROBOTICS/FIG_00000304.png
FIG_00000305,2605.30280v1,ROBOTICS,figures/ROBOTICS/FIG_00000305.png
FIG_00000306,2605.30280v1,ROBOTICS,figures/ROBOTICS/FIG_00000306.png
FIG_00000307,2605.30226v1,ROBOTICS,figures/ROBOTICS/FIG_00000307.png
FIG_00000308,2605.30226v1,ROBOTICS,figures/ROBOTICS/FIG_00000308.png
FIG_00000309,2605.30226v1,ROBOTICS,figures/ROBOTICS/FIG_00000309.png
FIG_00000310,2605.30226v1,ROBOTICS,figures/ROBOTICS/FIG_00000310.png
FIG_00000311,2605.30226v1,ROBOTICS,figures/ROBOTICS/FIG_00000311.png
FIG_00000312,2605.30226v1,ROBOTICS,figures/ROBOTICS/FIG_00000312.png
FIG_00000313,2605.30226v1,ROBOTICS,figures/ROBOTICS/FIG_00000313.png
FIG_00000314,2605.30226v1,ROBOTICS,figures/ROBOTICS/FIG_00000314.png
FIG_00000315,2605.30226v1,ROBOTICS,figures/ROBOTICS/FIG_00000315.png
FIG_00000316,2605.30226v1,ROBOTICS,figures/ROBOTICS/FIG_00000316.png
FIG_00000317,2605.30056v1,ROBOTICS,figures/ROBOTICS/FIG_00000317.png
FIG_00000318,2605.30056v1,ROBOTICS,figures/ROBOTICS/FIG_00000318.png
FIG_00000319,2605.30056v1,ROBOTICS,figures/ROBOTICS/FIG_00000319.png
FIG_00000320,2605.30056v1,ROBOTICS,figures/ROBOTICS/FIG_00000320.png
FIG_00000321,2605.30056v1,ROBOTICS,figures/ROBOTICS/FIG_00000321.png
FIG_00000322,2605.30056v1,ROBOTICS,figures/ROBOTICS/FIG_00000322.png
FIG_00000323,2605.30056v1,ROBOTICS,figures/ROBOTICS/FIG_00000323.png
FIG_00000324,2605.30056v1,ROBOTICS,figures/ROBOTICS/FIG_00000324.png
FIG_00000325,2605.30056v1,ROBOTICS,figures/ROBOTICS/FIG_00000325.png
FIG_00000326,2605.29973v1,ROBOTICS,figures/ROBOTICS/FIG_00000326.png
FIG_00000327,2605.29973v1,ROBOTICS,figures/ROBOTICS/FIG_00000327.png
FIG_00000328,2605.29973v1,ROBOTICS,figures/ROBOTICS/FIG_00000328.png
FIG_00000329,2605.29973v1,ROBOTICS,figures/ROBOTICS/FIG_00000329.png
FIG_00000330,2605.29973v1,ROBOTICS,figures/ROBOTICS/FIG_00000330.png
FIG_00000331,2605.29937v1,ROBOTICS,figures/ROBOTICS/FIG_00000331.png
FIG_00000332,2605.29937v1,ROBOTICS,figures/ROBOTICS/FIG_00000332.png
FIG_00000333,2605.29937v1,ROBOTICS,figures/ROBOTICS/FIG_00000333.png
FIG_00000334,2605.29937v1,ROBOTICS,figures/ROBOTICS/FIG_00000334.png
FIG_00000335,2605.29937v1,ROBOTICS,figures/ROBOTICS/FIG_00000335.png
FIG_00000336,2605.29937v1,ROBOTICS,figures/ROBOTICS/FIG_00000336.png
FIG_00000337,2605.29937v1,ROBOTICS,figures/ROBOTICS/FIG_00000337.png
FIG_00000338,2605.29937v1,ROBOTICS,figures/ROBOTICS/FIG_00000338.png
FIG_00000339,2605.29937v1,ROBOTICS,figures/ROBOTICS/FIG_00000339.png
FIG_00000340,2605.29937v1,ROBOTICS,figures/ROBOTICS/FIG_00000340.png
FIG_00000341,2605.29937v1,ROBOTICS,figures/ROBOTICS/FIG_00000341.png
FIG_00000342,2605.29937v1,ROBOTICS,figures/ROBOTICS/FIG_00000342.png
FIG_00000343,2605.30269v1,IMAGING,figures/IMAGING/FIG_00000343.png
FIG_00000344,2605.30269v1,IMAGING,figures/IMAGING/FIG_00000344.png
FIG_00000345,2605.29942v1,IMAGING,figures/IMAGING/FIG_00000345.png
FIG_00000346,2605.29942v1,IMAGING,figures/IMAGING/FIG_00000346.png
FIG_00000347,2605.29942v1,IMAGING,figures/IMAGING/FIG_00000347.png
FIG_00000348,2605.29942v1,IMAGING,figures/IMAGING/FIG_00000348.png
FIG_00000349,2605.29942v1,IMAGING,figures/IMAGING/FIG_00000349.png
FIG_00000350,2605.29942v1,IMAGING,figures/IMAGING/FIG_00000350.png
FIG_00000351,2605.29942v1,IMAGING,figures/IMAGING/FIG_00000351.png
FIG_00000352,2605.29942v1,IMAGING,figures/IMAGING/FIG_00000352.png
FIG_00000353,2605.29942v1,IMAGING,figures/IMAGING/FIG_00000353.png
FIG_00000354,2605.29942v1,IMAGING,figures/IMAGING/FIG_00000354.png
FIG_00000355,2605.29942v1,IMAGING,figures/IMAGING/FIG_00000355.png
FIG_00000356,2605.29942v1,IMAGING,figures/IMAGING/FIG_00000356.png
FIG_00000357,2605.29942v1,IMAGING,figures/IMAGING/FIG_00000357.png
FIG_00000358,2605.29942v1,IMAGING,figures/IMAGING/FIG_00000358.png
FIG_00000359,2605.29942v1,IMAGING,figures/IMAGING/FIG_00000359.png
FIG_00000360,2605.29942v1,IMAGING,figures/IMAGING/FIG_00000360.png
FIG_00000361,2605.29942v1,IMAGING,figures/IMAGING/FIG_00000361.png
FIG_00000362,2605.29808v1,IMAGING,figures/IMAGING/FIG_00000362.png
FIG_00000363,2605.29808v1,IMAGING,figures/IMAGING/FIG_00000363.png
FIG_00000364,2605.29808v1,IMAGING,figures/IMAGING/FIG_00000364.png
FIG_00000365,2605.29808v1,IMAGING,figures/IMAGING/FIG_00000365.png
FIG_00000366,2605.29808v1,IMAGING,figures/IMAGING/FIG_00000366.png
FIG_00000367,2605.29808v1,IMAGING,figures/IMAGING/FIG_00000367.png
FIG_00000368,2605.29808v1,IMAGING,figures/IMAGING/FIG_00000368.png
FIG_00000369,2605.29808v1,IMAGING,figures/IMAGING/FIG_00000369.png
FIG_00000370,2605.29808v1,IMAGING,figures/IMAGING/FIG_00000370.png
FIG_00000371,2605.29808v1,IMAGING,figures/IMAGING/FIG_00000371.png
FIG_00000372,2605.29808v1,IMAGING,figures/IMAGING/FIG_00000372.png
FIG_00000373,2605.29808v1,IMAGING,figures/IMAGING/FIG_00000373.png
